displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
Weber State University,regional-universities-west,UT,Ogden,west,True,#54,54,
Webster University,regional-universities-midwest,MO,St. Louis,midwest,True,#35,35,
Welch College,regional-colleges-south,TN,Gallatin,south,True,#10,10,
Wellesley College,national-liberal-arts-colleges,MA,Wellesley,,True,#7,7,
Wenatchee Valley College,regional-colleges-west,WA,Wenatchee,west,True,Unranked,-2,
Wentworth Institute of Technology,regional-universities-north,MA,Boston,north,True,#35,35,
Wesleyan College,regional-colleges-south,GA,Macon,south,True,#6,6,
Wesleyan University,national-liberal-arts-colleges,CT,Middletown,,True,#14,14,
West Chester University of Pennsylvania,national-universities,PA,West Chester,,True,#220,220,
Westcliff University,specialty-business,CA,Irvine,,True,Unranked,-2,
West Coast University,health,CA,Anaheim,,True,Unranked,-2,
Western Carolina University,national-universities,NC,Cullowhee,,True,#231,231,
Western Colorado University,regional-universities-west,CO,Gunnison,west,True,#70,70,
Western Connecticut State University,regional-universities-north,CT,Danbury,north,True,#112,112,
Western Illinois University,regional-universities-midwest,IL,Macomb,midwest,True,#57,57,
Western Kentucky University,national-universities,KY,Bowling Green,,True,#377,377,
Western Michigan University,national-universities,MI,Kalamazoo,,True,#288,288,
Western Nevada College,regional-colleges-west,NV,Carson City,west,True,Unranked,-2,
Western New England University,national-universities,MA,Springfield,,True,#273,273,
Western New Mexico University,regional-universities-west,NM,Silver City,west,True,#105-115,-1,
Western Oregon University,regional-universities-west,OR,Monmouth,west,True,#58,58,
Western Washington University,regional-universities-west,WA,Bellingham,west,True,#18,18,
Westfield State University,regional-universities-north,MA,Westfield,north,True,#66,66,
West Liberty University,regional-universities-south,WV,West Liberty,south,True,#57,57,
West Los Angeles College,regional-colleges-west,CA,Culver City,west,True,Unranked,-2,
Westminster College (MO),national-liberal-arts-colleges,MO,Fulton,,True,#169,169,
Westminster College (PA),national-liberal-arts-colleges,PA,New Wilmington,,True,#108,108,
Westminster University,regional-universities-west,UT,Salt Lake City,west,True,#12,12,
Westmont College,national-liberal-arts-colleges,CA,Santa Barbara,,True,#108,108,
West Texas A&M University,regional-universities-west,TX,Canyon,west,True,#47,47,
West Virginia State University,regional-universities-south,WV,Institute,south,True,#104,104,
West Virginia University,national-universities,WV,Morgantown,,True,#220,220,
West Virginia University Institute of Technology,regional-colleges-south,WV,Beckley,south,True,#51,51,
West Virginia University--Parkersburg,regional-colleges-south,WV,Parkersburg,south,True,Unranked,-2,
West Virginia Wesleyan College,regional-colleges-south,WV,Buckhannon,south,True,#30,30,
Whatcom Community College,regional-colleges-west,WA,Bellingham,west,True,Unranked,-2,
Wheaton College (IL),national-liberal-arts-colleges,IL,Wheaton,,True,#53,53,
Wheaton College (MA),national-liberal-arts-colleges,MA,Norton,,True,#74,74,
Wheeling University,regional-universities-south,WV,Wheeling,south,True,#57,57,
Whitman College,national-liberal-arts-colleges,WA,Walla Walla,,True,#53,53,
Whittier College,national-liberal-arts-colleges,CA,Whittier,,True,#95,95,
Whitworth University,regional-universities-west,WA,Spokane,west,True,#8,8,
Wichita State University,national-universities,KS,Wichita,,True,#296,296,
Widener University,national-universities,PA,Chester,,True,#266,266,
Wilberforce University,regional-colleges-midwest,OH,Wilberforce,midwest,True,#63,63,
Wiley College,regional-colleges-west,TX,Marshall,west,True,#29,29,
Wilkes University,national-universities,PA,Wilkes-Barre,,True,#288,288,
Willamette University,national-liberal-arts-colleges,OR,Salem,,True,#77,77,
William Carey University,national-universities,MS,Hattiesburg,,True,#329,329,
William Jewell College,regional-colleges-midwest,MO,Liberty,midwest,True,#9,9,
William & Mary,national-universities,VA,Williamsburg,,True,#54,54,
William Paterson University of New Jersey,regional-universities-north,NJ,Wayne,north,True,#60,60,
William Peace University,regional-colleges-south,NC,Raleigh,south,True,#26,26,
